City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
316,Daru,PG,-9.0763,143.2092,78.13,93,93,11.12,overcast clouds
317,Semporna,MY,4.4818,118.6112,79.38,83,100,2.77,overcast clouds
318,Mackay,AU,-21.15,149.2,67.68,90,98,16.15,overcast clouds
319,Miles City,US,46.4083,-105.8406,63.57,45,0,4.61,clear sky
320,Liuzhou,CN,24.3126,109.3892,83.26,71,81,4.09,broken clouds
321,Porto Novo,BJ,6.4965,2.6036,82.22,63,80,9.95,broken clouds
322,Salgado,BR,-11.0319,-37.475,79.5,46,10,8.97,clear sky
323,Nabire,ID,-3.3667,135.4833,76.55,92,100,3.04,moderate rain
324,Tommot,RU,58.9564,126.2925,46.09,98,100,4.27,moderate rain
325,Vidim,RU,56.4088,103.1106,44.78,88,100,15.86,moderate rain
326,Akureyri,IS,65.6835,-18.0878,57.13,62,0,11.5,clear sky
327,Mount Isa,AU,-20.7333,139.5,67.77,100,95,6.91,light rain
328,Broome,US,42.2506,-75.833,85.46,73,83,5.99,broken clouds
329,Vila Franca Do Campo,PT,37.7167,-25.4333,79.2,59,27,4.36,scattered clouds
330,Nizhnevartovsk,RU,60.9344,76.5531,44.62,100,0,0.0,clear sky
331,Kodiak,US,57.79,-152.4072,49.51,87,20,6.91,few clouds
332,Hay River,CA,60.8156,-115.7999,55.38,88,75,9.22,broken clouds
333,Isabela,PH,6.7085,121.9711,77.05,92,100,5.88,moderate rain
334,Churapcha,RU,62.0025,132.4325,52.7,67,50,5.12,scattered clouds
335,Miri,MY,4.4148,114.0089,80.74,89,40,3.44,scattered clouds
336,Samarinda,ID,-0.5,117.15,73.9,97,99,0.49,moderate rain
337,Joue-Les-Tours,FR,47.3522,0.6691,91.65,33,0,4.61,clear sky
338,Sakakah,SA,29.9697,40.2064,105.37,8,3,8.7,clear sky
339,Pimampiro,EC,0.4,-77.9667,58.73,81,98,6.35,light rain
340,Miquelon,PM,47.0975,-56.3814,71.6,89,97,16.13,overcast clouds
341,Palermo,IT,37.8167,13.5833,81.81,48,0,9.55,clear sky
342,Simbahan,PH,6.3032,120.5836,82.62,78,100,9.62,overcast clouds
343,Severnyy,RU,50.677,36.5532,75.24,53,0,2.24,clear sky
344,Makokou,GA,0.5738,12.8642,77.97,70,100,2.84,overcast clouds
345,Mizan Teferi,ET,6.9833,35.5833,62.08,96,92,1.59,light rain
346,Kavaratti,IN,10.5669,72.642,80.98,80,100,20.02,overcast clouds
